id,location,programming_languages,tools_and_technologies,years_experience_min,experience_level
1673,North America,"Ruby, Go, Python, Java","Cloud Computing, DevOps, Software Development, Other",5,senior
1674,North America,Java,"Software Development, Mobile Development",,not specified
1675,North America,"Other, Java","Data Analytics, DevOps, Database Management, Other",5,senior
1676,North America,"Ruby, Python, Shell","DevOps, Networking, Other",8,senior
1677,North America,,,5,senior
1678,North America,,"Internet of Things (IoT), Other",5,senior
1679,North America,,"Data Analytics, Other",5,senior
1680,Asia,,,2,not specified
1681,Asia,,"Software Development, Other",4,senior
1682,North America,,"Database Management, Other",2,mid
1683,Europe,,"Web Development, Other, Mobile Development",,senior
1684,North America,,"Software Development, Other",3,mid
1685,North America,"Python, Go, Scala, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Other",,senior
1686,Europe,,"Data Analytics, Other",,not specified
1687,Asia,,Other,2,mid
1688,North America,,"Networking, Database Management, Other",10,senior
1689,North America,,Other,,not specified
1690,Asia,,,7,senior
1691,North America,"Swift, Other","Mobile Development, Other",,not specified
1692,North America,Other,Other,4,senior
1693,Asia,Other,Other,5,senior
1694,North America,"Python, Shell, Perl, C++, Other","DevOps, Software Development, Other",3,mid
1695,North America,,"Data Analytics, Database Management, Other",3,mid
1696,North America,,,5,not specified
1697,North America,"Go, Python","DevOps, Database Management, Cloud Computing, Software Development, Other",2,senior
1698,North America,,Other,5,mid
1699,North America,"Perl, C++, Python, Other","Software Development, Other",,not specified
1700,North America,"JavaScript, Swift",DevOps,,not specified
1701,North America,,"Other, Cybersecurity",5,senior
1702,Europe,"JavaScript, Scala, Python, Java",Data Analytics,,not specified
1703,North America,,,5,senior
1704,North America,"Python, Shell","DevOps, Software Development, Other",,not specified
1705,North America,"Python, Shell","DevOps, Software Development, Other",,not specified
1706,North America,"TypeScript, C++, Java","Web Development, Other, Software Development, Mobile Development",3,mid
1707,North America,"Python, Other","Software Development, Other",5,senior
1708,North America,,Other,5,senior
1709,North America,"Ruby, JavaScript, Other","Web Development, Software Development, Database Management",3,mid
1710,North America,"JavaScript, C#, PHP, Java, Python, Swift, Ruby, Other","Data Analytics, DevOps, Database Management, Web Development, Other",3,mid
1711,Asia,"Perl, C++, Python, Other",Other,5,senior
1712,North America,"Perl, Shell, Python, Other","Internet of Things (IoT), Data Analytics, Software Development, Other",,not specified
1713,North America,"JavaScript, Python, Swift, Ruby, C++, Other",Other,3,mid
1714,Asia,,"Other, Mobile Development",1,junior
1715,North America,"Perl, Shell, Python, Other","Internet of Things (IoT), Data Analytics, Other",,not specified
1716,North America,,Machine Learning/Artificial Intelligence,,not specified
1717,North America,,Machine Learning/Artificial Intelligence,,not specified
1718,North America,,Other,5,senior
1719,Asia,Other,"Networking, Other",5,senior
1720,North America,Java,"DevOps, Database Management, Other",3,mid
1721,North America,"Python, R, Other",Data Analytics,,not specified
1722,Asia,"Perl, C++, Python, Other",Other,5,senior
1723,North America,,"Internet of Things (IoT), Software Development, Other",,not specified
1724,North America,"JavaScript, Python, Swift, Other","Web Development, Database Management, Mobile Development",,not specified
1725,North America,Other,"Networking, Other",5,senior
1726,Asia,,"Data Analytics, Other",,not specified
1727,North America,"C++, Other",Human-Computer Interaction,,not specified
1728,North America,,,,senior
1729,North America,,Other,6,senior
1730,Europe,,Other,,not specified
1731,North America,"Other, C++, C#, Java","Cybersecurity, Networking, Other",2,mid
1732,North America,,Other,20,senior
1733,North America,Other,"Data Analytics, Other",,not specified
1734,North America,R,"Data Analytics, Other",,not specified
1735,North America,"Perl, Python, Other",Other,,not specified
1736,North America,"Python, Other","AR/VR (Augmented Reality/Virtual Reality), Other",5,mid
1737,North America,"Python, C++, Other","Data Analytics, Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality),",3,not specified
1738,North America,,,5,senior
1739,North America,Other,Other,15,senior
1740,North America,"Python, R, Other","Data Analytics, Database Management",3,mid
1741,North America,Other,"Human-Computer Interaction, Other, Mobile Development",,not specified
1742,North America,"Scala, Python","Data Analytics, Database Management, Other",4,mid
1743,North America,Other,"Human-Computer Interaction, Other, Mobile Development",,not specified
1744,Europe,,,,not specified
1745,North America,,"Other, Mobile Development",4,mid
1746,North America,"JavaScript, Java, Python, Shell, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Cybersecurity, Networking, Other",,not specified
1747,North America,Other,Database Management,5,senior
1748,Asia,,,,not specified
1749,North America,,Other,,not specified
1750,North America,,"Networking, Other",5,senior
1751,North America,,,,not specified
1752,North America,Java,"Data Analytics, Cloud Computing",5,senior
1753,North America,"Python, C++, Perl, Other",Other,,not specified
1754,North America,"Python, Java","Software Development, Mobile Development, Other",4,senior
1755,North America,,Other,4,mid
1756,North America,,Other,10,senior
1757,North America,,Machine Learning/Artificial Intelligence,,not specified
1758,North America,"Python, R",Machine Learning/Artificial Intelligence,,not specified
1759,North America,,Other,2,mid
1760,Europe,"Java, Python, Swift, Go, C++, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Networking, Other",,senior
1761,Europe,,"Networking, Other",,not specified
1762,Europe,"Perl, C++, Python, Other",Other,3,mid
1763,Europe,"C++, Java","Data Analytics, Other",,not specified
1764,North America,,Other,3,mid
1765,North America,Swift,Mobile Development,,not specified
1766,North America,,"Other, Data Analytics, Software Development, Mobile Development",,not specified
1767,North America,Ruby,"Database Management, Other",,not specified
1768,North America,"JavaScript, Other","Web Development, Software Development",,senior
1769,North America,"Python, R, Other","Data Analytics, DevOps, Database Management",2,mid
1770,North America,,,10,senior
1771,North America,"Swift, C++, Other","Mobile Development, Other",,not specified
1772,North America,,"Machine Learning/Artificial Intelligence, Other",,senior
1773,North America,,,7,senior
1774,North America,"Shell, Python, C++, Other","Software Development, Networking, Other",3,mid
1775,Asia,,Other,3,mid
1776,North America,Java,"Web Development, Software Development, Database Management",5,senior
1777,North America,,"Web Development, Other",,senior
1778,North America,,"Software Development, Other",5,senior
1779,North America,,"Data Analytics, Other",5,senior
1780,North America,"Python, C++, Other","Data Analytics, DevOps, Software Development, Other",,not specified
1781,North America,JavaScript,Web Development,8,senior
1782,North America,Other,Other,3,senior
1783,North America,,"Data Analytics, Other",3,mid
1784,Asia,,Other,,not specified
1785,North America,,"Machine Learning/Artificial Intelligence, Software Development",10,senior
1786,North America,Other,"Data Analytics, Other",5,mid
1787,North America,"Python, C++, Other","Machine Learning/Artificial Intelligence, Other",8,senior
1788,Asia,,Other,,not specified
1789,North America,"Python, Shell, Java","Data Analytics, DevOps, Database Management, Cybersecurity, Networking, Other",,mid
1790,North America,"Scala, Java","Data Analytics, Cloud Computing, Database Management, Other",3,mid
1791,North America,"Perl, C++, Python, Other",Other,1,not specified
1792,North America,"Python, Shell","DevOps, Software Development, Networking, Other",,senior
1793,North America,,"Web Development, DevOps, Other",5,senior
1794,North America,,"Software Development, Other",,not specified
1795,North America,"C++, Java","Data Analytics, DevOps, Cloud Computing, Software Development, Other",,senior
1796,North America,"JavaScript, Python, Other, Java","DevOps, Software Development, Mobile Development, Other",5,senior
1797,North America,"JavaScript, Java, Python, Shell, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Cybersecurity, Networking, Other",,not specified
1798,North America,,"Cloud Computing, Software Development, Networking, Cybersecurity",5,senior
1799,North America,"R, Other","Data Analytics, Other",5,senior
1800,North America,"C++, Other","Internet of Things (IoT), Data Analytics, Software Development, Other",4,senior
1801,North America,"JavaScript, Python, Java","DevOps, Software Development, Mobile Development, Other",2,mid
1802,North America,,Machine Learning/Artificial Intelligence,5,senior
1803,North America,,Machine Learning/Artificial Intelligence,10,senior
1804,North America,"Ruby, Python","DevOps, Software Development, Other",,not specified
1805,North America,,"Software Development, Other",5,mid
1806,North America,"JavaScript, Python, Other","Web Development, Cloud Computing, Database Management, Other",3,mid
1807,Asia,,,10,senior
1808,North America,,"Machine Learning/Artificial Intelligence, Software Development, Other",7,senior
1809,Asia,,,3,not specified
1810,North America,Java,"Web Development, Software Development, Database Management, Other",5,senior
1811,North America,,"Database Management, Networking, Other",10,senior
1812,North America,"Swift, PHP, Python, Java","Web Development, DevOps, Database Management, Other",5,senior
1813,North America,"Python, Go","Cloud Computing, DevOps, Other",,not specified
1814,North America,,"Data Analytics, Other",10,senior
1815,North America,"JavaScript, Java","Web Development, Software Development, Database Management, Other",5,senior
1816,North America,"Swift, C++, Other","Other, Mobile Development",,not specified
1817,North America,,Software Development,1,junior
1818,North America,"JavaScript, PHP, Swift, Python, Ruby, C++, Other","Web Development, Software Development",,not specified
1819,Asia,"Java, Python, Shell, Swift, Other","Web Development, Software Development, Database Management, Other",7,senior
1820,North America,Other,"Data Analytics, Software Development, Other",5,senior
1821,Asia,,,3,mid
1822,North America,,"Networking, Other",5,senior
1823,North America,"PHP, Java, Perl, Shell, Python","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development,",5,senior
1824,North America,,"Networking, Other",5,senior
1825,North America,"Shell, C++, Other","Data Analytics, Other",5,senior
1826,North America,,"Cybersecurity, Software Development, Web Development, Networking, Other",5,senior
1827,North America,"C++, Other","Software Development, Other",3,mid
1828,North America,"PHP, Java, Perl, Python, Ruby","Cybersecurity, Software Development, Web Development, Networking, Other",,not specified
1829,North America,"JavaScript, Python, Other","Web Development, Cloud Computing, Database Management, Other",3,mid
1830,North America,"JavaScript, Python, Java","Web Development, Data Analytics, Software Development, Database Management",5,senior
1831,North America,"Kotlin, Java, Python, Swift, Go, C++, Other","DevOps, Database Management, Cybersecurity, Networking, Other",,senior
1832,North America,,,5,senior
1833,North America,,Other,,senior
1834,North America,"Ruby, Perl, Shell, Other","Software Development, Other",3,mid
1835,North America,"C++, Other","Data Analytics, Software Development",,mid
1836,Asia,"Python, Java, Other","Database Management, Other",,senior
1837,North America,,"Data Analytics, Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality),",5,senior
1838,North America,"Python, C++, Other","Web Development, Internet of Things (IoT), Cloud Computing, Software Development",,not specified
1839,Asia,"Java, Perl, Python, Ruby, Go","Cloud Computing, DevOps, Software Development, Networking",4,senior
1840,Europe,"Perl, PHP, Python, Other","Web Development, Software Development",,not specified
1841,North America,Other,"Cybersecurity, Software Development, Web Development, Networking, Other",5,senior
1842,North America,Other,"Web Development, Software Development, Other",8,senior
1843,North America,Other,"Web Development, Other, Software Development, Mobile Development",8,senior
1844,North America,,Other,3,mid
1845,North America,Other,"Other, Mobile Development",3,mid
1846,North America,Python,"Other, Software Development, Mobile Development",5,senior
1847,Asia,"Java, Python, Shell, Perl, Ruby","DevOps, Other",,not specified
1848,North America,,"DevOps, Cybersecurity, Web Development, Networking, Other",5,senior
1849,North America,"C++, Other",Other,10,senior
1850,North America,Other,"Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
1851,North America,,,,not specified
1852,North America,,"Data Analytics, Other",2,not specified
1853,North America,"Python, C++, Perl, Other","Database Management, Other",8,senior
1854,North America,,,3,mid
1855,North America,"Python, Shell, Swift","Mobile Development, Software Development, Other",5,senior
1856,North America,,"Software Development, Other",5,senior
1857,North America,,"Human-Computer Interaction, Data Analytics, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1858,North America,,"Database Management, Mobile Development, Software Development, Web Development, Other",10,senior
1859,North America,,Other,5,senior
1860,North America,,Other,5,senior
1861,North America,"Swift, C++, Other","Database Management, Machine Learning/Artificial Intelligence, Cybersecurity, Mobile Development, Ot",6,senior
1862,North America,"Python, C++, Perl, Other","Database Management, Other",8,senior
1863,Asia,,Other,,not specified
1864,North America,,,,not specified
1865,North America,"Perl, Python, Ruby, C++, Other","Software Development, Other",3,mid
1866,North America,"Scala, R, Python, Java","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1867,North America,"Perl, Shell, PHP, Python","Data Analytics, DevOps, Database Management, Cloud Computing, Cybersecurity, Software Development, N",5,senior
1868,North America,"Ruby, Perl, Python, Java","Data Analytics, DevOps, Database Management, Software Development, Networking, Other",5,senior
1869,Asia,,,2,not specified
1870,North America,"Other, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Other",,not specified
1871,North America,,"Web Development, Networking, Other",,senior
1872,North America,"C++, Other","Software Development, Other",5,senior
1873,North America,,,3,mid
1874,North America,"Python, C++, Other","Machine Learning/Artificial Intelligence, Other",5,senior
1875,North America,,"Data Analytics, Other",3,not specified
1876,North America,"Python, Perl, Other",Other,,not specified
1877,Europe,"C++, Other","Networking, Other",,senior
1878,North America,,Other,,not specified
1879,Asia,"C++, Other","Software Development, Other",6,senior
1880,North America,"Perl, PHP, Python, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Cybersecurity, Software Development",5,senior
1881,North America,,"Machine Learning/Artificial Intelligence, Software Development, Other",5,senior
1882,North America,,Machine Learning/Artificial Intelligence,3,mid
1883,North America,,Machine Learning/Artificial Intelligence,7,senior
1884,North America,R,"Data Analytics, Other",5,senior
1885,Asia,,"Internet of Things (IoT), Other",8,senior
1886,North America,,"Data Analytics, Other",2,not specified
1887,North America,,"Software Development, Other",3,mid
1888,North America,"Perl, Python, Other","Web Development, Networking, Other",,not specified
1889,North America,"Python, Shell, Perl","Cybersecurity, Cloud Computing, Networking, Other",4,senior
1890,Europe,,,,senior
1891,Asia,"Python, C++, Other","Networking, Other",5,senior
1892,North America,,"Software Development, Other",5,senior
1893,North America,,"Software Development, Other",5,mid
1894,North America,,"Mobile Development, Other",5,senior
1895,North America,"C++, Other",Other,3,senior
1896,North America,"Perl, C++, C#, Other","Software Development, Other",7,senior
1897,North America,,Other,5,senior
1898,North America,,Other,5,senior
1899,North America,"Perl, Shell, Other",Other,3,not specified
1900,North America,"C++, Other",Other,5,senior
1901,North America,"Python, C++, Java",Machine Learning/Artificial Intelligence,,not specified
1902,North America,,,5,senior
1903,North America,,,,not specified
1904,North America,"Perl, C++, Python, Other",Other,5,senior
1905,North America,"JavaScript, Other","Database Management, Other",10,senior
1906,Europe,,,,senior
1907,North America,,Other,5,mid
1908,North America,"C++, Other","Software Development, Networking, Other",,not specified
1909,North America,"Scala, Java, Python, Shell, Ruby, C++","Web Development, Other",4,senior
1910,Asia,,"Networking, Other",8,senior
1911,North America,,"Internet of Things (IoT), Data Analytics, Mobile Development, Other",,not specified
1912,North America,"Swift, C++, Other",Software Development,,not specified
1913,North America,,"Machine Learning/Artificial Intelligence, Database Management, Other",3,mid
1914,North America,Java,"Data Analytics, Cloud Computing, Database Management, Other",10,senior
1915,North America,Java,"Web Development, Software Development, Database Management",5,senior
1916,North America,,"Mobile Development, Other",5,mid
1917,North America,,"Machine Learning/Artificial Intelligence, Database Management, Other",3,mid
1918,North America,,"Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Soft",5,senior
1919,North America,,"Data Analytics, Software Development, Other",,mid
1920,North America,"Java, Perl, Shell, Python, Go, C++","Web Development, DevOps, Software Development, Other",3,mid
1921,Europe,Other,Other,,mid
1922,Asia,,"Other, Software Development, Cybersecurity",5,senior
1923,North America,,"Mobile Development, Other",5,senior
1924,North America,"Scala, Python, Java","Data Analytics, Machine Learning/Artificial Intelligence, Cybersecurity, Other",,not specified
1925,North America,,"Cloud Computing, Other",7,senior
1926,Asia,,Other,5,senior
1927,North America,,,5,not specified
1928,Europe,Python,Other,1,not specified
1929,Europe,"JavaScript, Python, Ruby","Web Development, Data Analytics, Software Development, Other",,not specified
1930,North America,"Java, Python, Perl, Ruby, Go","Cloud Computing, DevOps, Software Development, Other",5,senior
1931,North America,,Other,10,senior
1932,North America,,Other,,senior
1933,Asia,,"DevOps, Mobile Development, Networking, Other",,not specified
1934,North America,"C++, Other","Software Development, Other",,not specified
1935,North America,Other,Other,,senior
1936,North America,,"Software Development, Other",5,mid
1937,North America,Python,Machine Learning/Artificial Intelligence,,not specified
1938,North America,"Perl, Other","Software Development, Other",5,senior
1939,North America,"Python, C++, Java, Other","Software Development, Other",,not specified
1940,Asia,"Swift, Other","Database Management, Cybersecurity, Mobile Development, Web Development, Other",8,senior
1941,North America,Java,"Cloud Computing, DevOps, Database Management, Other",10,senior
1942,North America,,"Data Analytics, Database Management, Cloud Computing, Software Development, Other",10,senior
1943,Asia,,"Data Analytics, Other",5,senior
1944,North America,,"Machine Learning/Artificial Intelligence, Database Management, Other",10,senior
1945,North America,,"Machine Learning/Artificial Intelligence, Database Management, Other",10,senior
1946,North America,,"Human-Computer Interaction, DevOps, Other",,not specified
1947,Asia,"JavaScript, Other","Web Development, Other",5,senior
1948,North America,"Perl, Other","DevOps, Software Development, Other",2,mid
1949,Asia,"Python, Shell, Go, Java","Data Analytics, DevOps, Networking, Other",5,senior
1950,North America,"Python, Other","Human-Computer Interaction, Data Analytics, Machine Learning/Artificial Intelligence, Other",5,senior
1951,North America,,Other,5,not specified
1952,North America,,Other,8,senior
1953,North America,"Python, C++, Java, Other","Software Development, Other",,not specified
1954,North America,,"DevOps, Cloud Computing, Mobile Development, Software Development, Other",,mid
1955,North America,,,10,senior
1956,North America,"Other, Java","Data Analytics, Cybersecurity, Web Development, Networking, Other",8,senior
1957,North America,"Python, R, Other","Data Analytics, Other",3,mid
1958,North America,Other,"Mobile Development, Other",2,mid
1959,North America,,Machine Learning/Artificial Intelligence,5,senior
1960,Asia,"Swift, Other","Web Development, Other, Database Management, Mobile Development",8,senior
1961,North America,"JavaScript, Other",Web Development,5,senior
1962,North America,,"DevOps, Cloud Computing, Mobile Development, Software Development, Networking, Other",,not specified
1963,North America,,"Software Development, Other",8,senior
1964,North America,,,4,not specified
1965,North America,,,4,mid
1966,North America,"Python, C++",Machine Learning/Artificial Intelligence,,not specified
1967,North America,,"Data Analytics, Other",3,mid
1968,North America,,,5,not specified
1969,North America,"C++, Other","Networking, Other",,not specified
1970,North America,"Ruby, Python, Shell, Other","DevOps, Cloud Computing, Software Development, Web Development, Networking, Other",10,senior
1971,North America,"Python, C++, Other","Internet of Things (IoT), Data Analytics, Other",4,not specified
1972,Asia,,Other,7,senior
1973,North America,,"Data Analytics, Database Management, Other",3,mid
1974,North America,,"Web Development, Other",5,senior
1975,North America,,"Software Development, Other",8,senior
1976,North America,,"Data Analytics, Software Development, Other",5,not specified
1977,Asia,,"Networking, Other",7,senior
1978,North America,,,4,senior
1979,Asia,,,8,senior
1980,North America,,,,not specified
1981,North America,,,12,senior
1982,North America,"Python, C++","Cloud Computing, Software Development, Database Management, Other",,not specified
1983,North America,,,,not specified
1984,North America,"Python, Shell, Perl","Data Analytics, DevOps, Cloud Computing, Software Development, Networking, Other",5,not specified
1985,Asia,,"Cybersecurity, Networking, Other",7,senior
1986,North America,"Java, Other",Other,,not specified
1987,North America,Other,"Networking, Other",5,senior
1988,North America,,Internet of Things (IoT),7,senior
1989,North America,,Data Analytics,,not specified
1990,North America,,,5,senior
1991,Europe,"Swift, Other","Web Development, Mobile Development",,not specified
1992,North America,Python,"Data Analytics, Database Management",5,senior
1993,Asia,"JavaScript, Java, Other","Web Development, Other",,not specified
1994,Europe,"Python, C++","Software Development, Networking, Other",,senior
1995,Europe,,"Software Development, Other",10,senior
1996,North America,,Other,5,not specified
1997,North America,Other,"AR/VR (Augmented Reality/Virtual Reality), Networking, Other",4,not specified
1998,Europe,,Data Analytics,,not specified
1999,North America,"JavaScript, Other","Human-Computer Interaction, Other",5,mid
2000,Europe,Java,Data Analytics,,not specified
2001,North America,Other,"Software Development, Other",,not specified
2002,North America,,"Mobile Development, Other",,not specified
2003,North America,Other,"Machine Learning/Artificial Intelligence, Other",5,senior
2004,Asia,,"Other, Networking, Cybersecurity",10,senior
2005,North America,,"Web Development, Other",,not specified
2006,North America,"Python, Shell, Perl, Go","DevOps, Mobile Development, Other",,not specified
2007,North America,,Other,3,mid
2008,North America,Other,"Data Analytics, Software Development, Database Management, Other",,senior
2009,Asia,Other,"Networking, Other",,senior
2010,North America,,"Data Analytics, Networking, Other",5,senior
2011,Asia,"Python, Perl, Other",Other,,not specified
2012,North America,"Scala, Python, Java","Data Analytics, Database Management",,not specified
2013,Asia,"Python, Other, Java","Data Analytics, Database Management, Software Development, Web Development, Other",,not specified
2014,North America,,"Web Development, Data Analytics, Mobile Development, Other",8,senior
2015,North America,"Other, Java","Database Management, Cybersecurity, Software Development, Web Development, Networking, Other",8,senior
2016,Europe,Other,"Software Development, Other",,not specified
2017,North America,,"Other, Software Development, Mobile Development",,not specified
2018,North America,Other,"Web Development, Software Development, Other",,not specified
2019,North America,Java,"Data Analytics, Database Management",5,senior
2020,North America,"JavaScript, Python, Java","Web Development, Data Analytics, Cloud Computing, Database Management",3,mid
2021,Asia,,Machine Learning/Artificial Intelligence,7,senior
2022,North America,"Python, Scala, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Othe",,senior
2023,North America,Go,"Data Analytics, DevOps, Networking, Other",,senior
2024,North America,"Python, Other",Other,2,mid
2025,North America,"Python, Scala, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Other",,mid
2026,North America,"Ruby, Perl, Shell, Python","Data Analytics, DevOps, Database Management, Software Development, Networking, Other",5,senior
2027,North America,"Python, R, Other","Data Analytics, Machine Learning/Artificial Intelligence, Database Management, Other",,not specified
2028,North America,,Other,5,senior
2029,North America,"Ruby, Perl, Shell, Python","Data Analytics, DevOps, Database Management, Software Development, Networking, Other",5,mid
2030,Asia,"Python, Perl, Other",Other,,not specified
2031,North America,"Python, Shell, Perl, Go","DevOps, Mobile Development, Other",,not specified
2032,Asia,,"Data Analytics, Other",,not specified
2033,Europe,,Other,3,mid
2034,Asia,,"Data Analytics, Other",,senior
2035,Asia,Other,"Software Development, Other",,not specified
2036,North America,"Java, Python, Swift, Perl, Shell, C++, Other","Data Analytics, DevOps, Machine Learning/Artificial Intelligence, Software Development, Networking, ",10,senior
2037,North America,"Python, Shell, Perl","DevOps, Database Management, Cloud Computing, Software Development, Networking, Other",,not specified
2038,Europe,,"Other, Software Development, Networking, Mobile Development",10,senior
2039,Europe,,"Data Analytics, Other",,senior
2040,North America,"Ruby, Perl, Go, Python","DevOps, Cloud Computing, Cybersecurity, Software Development, Web Development, Networking, Other",5,senior
2041,North America,"Python, Other, Scala, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Othe",,senior
2042,North America,"Python, Other",Other,5,senior
2043,Asia,,"Other, Software Development, Networking, Mobile Development",10,senior
2044,North America,"Python, Shell","Data Analytics, Database Management, Other",2,mid
2045,North America,,Other,3,mid
2046,Europe,"C++, Other",Other,,not specified
2047,North America,"Perl, Python, Other",Other,,not specified
2048,North America,,Web Development,6,senior
2049,North America,,"Software Development, Database Management, Other",5,senior
2050,North America,,"Software Development, Database Management, Other",5,senior
2051,North America,"Java, Python, Go, C++, Other","DevOps, Database Management, Web Development, Networking, Other",3,senior
2052,Europe,,"Other, Software Development, Networking, Mobile Development",10,senior
2053,North America,,Other,3,mid
2054,North America,"Ruby, Perl, Shell, Python","DevOps, Database Management, Cloud Computing, Software Development, Web Development, Networking, Oth",5,senior
2055,North America,Java,Database Management,5,senior
2056,North America,Other,Other,4,mid
2057,North America,"Perl, Python, Other",Other,5,senior
2058,North America,,"Networking, Other",,not specified
2059,North America,,Other,2,mid
2060,North America,"Perl, Shell, PHP, Other","Database Management, Software Development, Web Development, Networking, Other",5,senior
2061,North America,"Perl, Shell, PHP","Database Management, Software Development, Web Development, Networking, Other",5,mid
2062,North America,"Java, Python, Go, C++, Other","DevOps, Database Management, Web Development, Networking, Other",3,mid
2063,North America,,Other,,senior
2064,North America,"Perl, Python, Other",Other,5,senior
2065,Asia,,"Web Development, Networking, Other",,senior
2066,Asia,Other,"Web Development, Cybersecurity, Networking, Other",,senior
2067,North America,"Python, Perl, Other","Software Development, Other",5,senior
2068,North America,"Python, Perl, Other","Software Development, Other",5,senior
2069,North America,"JavaScript, Other","Web Development, Other",2,not specified
2070,North America,"Python, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",8,senior
2071,Asia,,Other,,not specified
2072,Europe,,"Other, Data Analytics, Mobile Development",,junior
2073,Asia,,Web Development,,senior
2074,North America,Other,"Other, Software Development, Mobile Development",,senior
2075,Asia,"Scala, Other, Java","Data Analytics, Cloud Computing, Database Management, DevOps",,senior
2076,North America,"JavaScript, PHP, Other","Data Analytics, Blockchain, Software Development, Web Development, Other",5,senior
2077,North America,,"Software Development, Other",5,senior
2078,North America,Other,Other,,not specified
2079,North America,"Perl, Other","Software Development, Other",5,senior
2080,North America,"JavaScript, Other, Java","Web Development, Software Development, Database Management, Other",5,senior
2081,Asia,,Other,,not specified
2082,Europe,,"Web Development, Other, Networking, Mobile Development",2,not specified
2083,North America,,"AR/VR (Augmented Reality/Virtual Reality), Other",3,mid
2084,North America,"JavaScript, Perl, Shell, Python, C++, Other","Web Development, Software Development, Networking, Other",,senior
2085,North America,"JavaScript, Perl, Shell, Python, C++, Other","Web Development, Software Development, Networking, Other",,not specified
2086,Asia,,,,not specified
2087,Asia,,"Data Analytics, DevOps, Other",3,mid
2088,North America,,Other,6,senior
2089,North America,,"Data Analytics, Other",2,mid
2090,North America,"Scala, Shell, Python, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",3,mid
2091,Europe,,"Web Development, Other",,senior
2092,North America,,"Web Development, Data Analytics, Other",,senior
2093,North America,,Other,8,senior
2094,North America,,"Cloud Computing, Software Development, Database Management, Other",8,senior
2095,North America,"Ruby, Perl, Shell, Python","DevOps, Database Management, Cloud Computing, Software Development, Web Development, Networking, Oth",5,senior
2096,Asia,"JavaScript, Other","Web Development, Other",,not specified
2097,Asia,"Python, Perl, Other",Other,,not specified
2098,Asia,"Python, Perl, Other",Other,,not specified
2099,North America,Python,"Data Analytics, Software Development, Other",5,senior
2100,North America,,,,mid
2101,North America,,"Cloud Computing, Mobile Development, Other",2,mid
2102,North America,,Other,3,mid
2103,North America,,Other,10,senior
2104,North America,,,,not specified
2105,Asia,,"DevOps, Mobile Development, Web Development, Internet of Things (IoT), Networking, Other",1,mid
2106,Asia,,,5,senior
2107,North America,,"Web Development, Software Development, Mobile Development, Other",15,senior
2108,North America,"Python, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Soft",5,senior
2109,Asia,,"Human-Computer Interaction, Mobile Development, Other",,mid
2110,North America,"Java, Python, Perl, Ruby, Go","Data Analytics, Cloud Computing, DevOps, Other",5,senior
2111,North America,"Java, Python, Perl, Ruby, Go","Data Analytics, DevOps, Cloud Computing, Software Development, Other",5,senior
2112,Asia,,Other,15,senior
2113,North America,,"Human-Computer Interaction, Mobile Development, Other",,senior
2114,North America,,Cybersecurity,5,senior
2115,North America,"Python, C++, Other","Internet of Things (IoT), Other",,not specified
2116,Europe,,"Data Analytics, Database Management, Other",10,senior
2117,North America,"Python, C++, Other","Cloud Computing, Software Development, Database Management, Other",,not specified
2118,Europe,,Mobile Development,,senior
2119,Asia,,"Data Analytics, Other",2,mid
2120,North America,,Other,,not specified
2121,North America,"JavaScript, TypeScript","Web Development, Cloud Computing, Database Management",15,senior
2122,Europe,,,,not specified
2123,North America,,Data Analytics,5,senior
2124,Europe,,"Mobile Development, Other",,senior
2125,Asia,,Other,,not specified
2126,Asia,,,,senior
2127,North America,,,,not specified
2128,Asia,,,,not specified
2129,Europe,,,,not specified
2130,Europe,,,,not specified
2131,Asia,,,,not specified
2132,Asia,,,,not specified
2133,Asia,,,,not specified
2134,Asia,,,,not specified
2135,Asia,,Other,,senior
2136,Asia,,,,not specified
2137,Asia,,,,not specified
2138,Europe,,,,senior
2139,Asia,,"Data Analytics, Other",5,senior
2140,Europe,,,,senior
2141,Europe,,,,senior
2142,North America,,,8,senior
2143,Asia,,,,senior
2144,Europe,,,,not specified
2145,Asia,,,,senior
2146,Asia,,,,not specified
