id,programming_languages,tools_and_technologies,years_experience_min,experience_level
1808,,"Machine Learning/Artificial Intelligence, Software Development, Other",7.0,senior
1809,,,3.0,not specified
1810,Java,"Web Development, Software Development, Database Management, Other",5.0,senior
1811,,"Database Management, Networking, Other",10.0,senior
1812,"Swift, PHP, Python, Java","Web Development, DevOps, Database Management, Other",5.0,senior
1813,"Python, Go","Cloud Computing, DevOps, Other",,not specified
1814,,"Data Analytics, Other",10.0,senior
1815,"JavaScript, Java","Web Development, Software Development, Database Management, Other",5.0,senior
1816,"Swift, C++, Other","Other, Mobile Development",,not specified
1817,,Software Development,1.0,junior
1818,"JavaScript, PHP, Swift, Python, Ruby, C++, Other","Web Development, Software Development",,not specified
1819,"Java, Python, Shell, Swift, Other","Web Development, Software Development, Database Management, Other",7.0,senior
1820,Other,"Data Analytics, Software Development, Other",5.0,senior
1821,,,3.0,mid
1822,,"Networking, Other",5.0,senior
1823,"PHP, Java, Perl, Shell, Python","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development, Networking, Other",5.0,senior
1824,,"Networking, Other",5.0,senior
1825,"Shell, C++, Other","Data Analytics, Other",5.0,senior
1826,,"Cybersecurity, Software Development, Web Development, Networking, Other",5.0,senior
1827,"C++, Other","Software Development, Other",3.0,mid
1828,"PHP, Java, Perl, Python, Ruby","Cybersecurity, Software Development, Web Development, Networking, Other",,not specified
1829,"JavaScript, Python, Other","Web Development, Cloud Computing, Database Management, Other",3.0,mid
1830,"JavaScript, Python, Java","Web Development, Data Analytics, Software Development, Database Management",5.0,senior
1831,"Kotlin, Java, Python, Swift, Go, C++, Other","DevOps, Database Management, Cybersecurity, Networking, Other",,senior
1832,,,5.0,senior
1833,,Other,,senior
1834,"Ruby, Perl, Shell, Other","Software Development, Other",3.0,mid
1835,"C++, Other","Data Analytics, Software Development",,mid
1836,"Python, Java, Other","Database Management, Other",,senior
1837,,"Data Analytics, Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Software Development, Other",5.0,senior
1838,"Python, C++, Other","Web Development, Internet of Things (IoT), Cloud Computing, Software Development",,not specified
1839,"Java, Perl, Python, Ruby, Go","Cloud Computing, DevOps, Software Development, Networking",4.0,senior
1840,"Perl, PHP, Python, Other","Web Development, Software Development",,not specified
1841,Other,"Cybersecurity, Software Development, Web Development, Networking, Other",5.0,senior
1842,Other,"Web Development, Software Development, Other",8.0,senior
1843,Other,"Web Development, Other, Software Development, Mobile Development",8.0,senior
1844,,Other,3.0,mid
1845,Other,"Other, Mobile Development",3.0,mid
1846,Python,"Other, Software Development, Mobile Development",5.0,senior
1847,"Java, Python, Shell, Perl, Ruby","DevOps, Other",,not specified
1848,,"DevOps, Cybersecurity, Web Development, Networking, Other",5.0,senior
1849,"C++, Other",Other,10.0,senior
1850,Other,"Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
1851,,,,not specified
1852,,"Data Analytics, Other",2.0,not specified
1853,"Python, C++, Perl, Other","Database Management, Other",8.0,senior
1854,,,3.0,mid
1855,"Python, Shell, Swift","Mobile Development, Software Development, Other",5.0,senior
1856,,"Software Development, Other",5.0,senior
1857,,"Human-Computer Interaction, Data Analytics, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1858,,"Database Management, Mobile Development, Software Development, Web Development, Other",10.0,senior
1859,,Other,5.0,senior
1860,,Other,5.0,senior
1861,"Swift, C++, Other","Database Management, Machine Learning/Artificial Intelligence, Cybersecurity, Mobile Development, Other",6.0,senior
1862,"Python, C++, Perl, Other","Database Management, Other",8.0,senior
1863,,Other,,not specified
1864,,,,not specified
1865,"Perl, Python, Ruby, C++, Other","Software Development, Other",3.0,mid
1866,"Scala, R, Python, Java","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1867,"Perl, Shell, PHP, Python","Data Analytics, DevOps, Database Management, Cloud Computing, Cybersecurity, Software Development, Networking, Other",5.0,senior
1868,"Ruby, Perl, Python, Java","Data Analytics, DevOps, Database Management, Software Development, Networking, Other",5.0,senior
1869,,,2.0,not specified
1870,"Other, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Other",,not specified
1871,,"Web Development, Networking, Other",,senior
1872,"C++, Other","Software Development, Other",5.0,senior
1873,,,3.0,mid
1874,"Python, C++, Other","Machine Learning/Artificial Intelligence, Other",5.0,senior
1875,,"Data Analytics, Other",3.0,not specified
1876,"Python, Perl, Other",Other,,not specified
1877,"C++, Other","Networking, Other",,senior
1878,,Other,,not specified
1879,"C++, Other","Software Development, Other",6.0,senior
1880,"Perl, PHP, Python, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Cybersecurity, Software Development",5.0,senior
1881,,"Machine Learning/Artificial Intelligence, Software Development, Other",5.0,senior
1882,,Machine Learning/Artificial Intelligence,3.0,mid
1883,,Machine Learning/Artificial Intelligence,7.0,senior
1884,R,"Data Analytics, Other",5.0,senior
1885,,"Internet of Things (IoT), Other",8.0,senior
1886,,"Data Analytics, Other",2.0,not specified
1887,,"Software Development, Other",3.0,mid
1888,"Perl, Python, Other","Web Development, Networking, Other",,not specified
1889,"Python, Shell, Perl","Cybersecurity, Cloud Computing, Networking, Other",4.0,senior
1890,,,,senior
1891,"Python, C++, Other","Networking, Other",5.0,senior
1892,,"Software Development, Other",5.0,senior
1893,,"Software Development, Other",5.0,mid
1894,,"Mobile Development, Other",5.0,senior
1895,"C++, Other",Other,3.0,senior
1896,"Perl, C++, C#, Other","Software Development, Other",7.0,senior
1897,,Other,5.0,senior
1898,,Other,5.0,senior
1899,"Perl, Shell, Other",Other,3.0,not specified
1900,"C++, Other",Other,5.0,senior
1901,"Python, C++, Java",Machine Learning/Artificial Intelligence,,not specified
1902,,,5.0,senior
1903,,,,not specified
1904,"Perl, C++, Python, Other",Other,5.0,senior
1905,"JavaScript, Other","Database Management, Other",10.0,senior
1906,,,,senior
1907,,Other,5.0,mid
1908,"C++, Other","Software Development, Networking, Other",,not specified
1909,"Scala, Java, Python, Shell, Ruby, C++","Web Development, Other",4.0,senior
1910,,"Networking, Other",8.0,senior
1911,,"Internet of Things (IoT), Data Analytics, Mobile Development, Other",,not specified
1912,"Swift, C++, Other",Software Development,,not specified
1913,,"Machine Learning/Artificial Intelligence, Database Management, Other",3.0,mid
1914,Java,"Data Analytics, Cloud Computing, Database Management, Other",10.0,senior
1915,Java,"Web Development, Software Development, Database Management",5.0,senior
1916,,"Mobile Development, Other",5.0,mid
1917,,"Machine Learning/Artificial Intelligence, Database Management, Other",3.0,mid
1918,,"Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Software Development, Web Development",5.0,senior
1919,,"Data Analytics, Software Development, Other",,mid
1920,"Java, Perl, Shell, Python, Go, C++","Web Development, DevOps, Software Development, Other",3.0,mid
1921,Other,Other,,mid
1922,,"Other, Software Development, Cybersecurity",5.0,senior
1923,,"Mobile Development, Other",5.0,senior
1924,"Scala, Python, Java","Data Analytics, Machine Learning/Artificial Intelligence, Cybersecurity, Other",,not specified
1925,,"Cloud Computing, Other",7.0,senior
1926,,Other,5.0,senior
1927,,,5.0,not specified
1928,Python,Other,1.0,not specified
1929,"JavaScript, Python, Ruby","Web Development, Data Analytics, Software Development, Other",,not specified
1930,"Java, Python, Perl, Ruby, Go","Cloud Computing, DevOps, Software Development, Other",5.0,senior
1931,,Other,10.0,senior
1932,,Other,,senior
1933,,"DevOps, Mobile Development, Networking, Other",,not specified
1934,"C++, Other","Software Development, Other",,not specified
1935,Other,Other,,senior
1936,,"Software Development, Other",5.0,mid
1937,Python,Machine Learning/Artificial Intelligence,,not specified
1938,"Perl, Other","Software Development, Other",5.0,senior
1939,"Python, C++, Java, Other","Software Development, Other",,not specified
1940,"Swift, Other","Database Management, Cybersecurity, Mobile Development, Web Development, Other",8.0,senior
1941,Java,"Cloud Computing, DevOps, Database Management, Other",10.0,senior
1942,,"Data Analytics, Database Management, Cloud Computing, Software Development, Other",10.0,senior
1943,,"Data Analytics, Other",5.0,senior
1944,,"Machine Learning/Artificial Intelligence, Database Management, Other",10.0,senior
1945,,"Machine Learning/Artificial Intelligence, Database Management, Other",10.0,senior
1946,,"Human-Computer Interaction, DevOps, Other",,not specified
1947,"JavaScript, Other","Web Development, Other",5.0,senior
1948,"Perl, Other","DevOps, Software Development, Other",2.0,mid
1949,"Python, Shell, Go, Java","Data Analytics, DevOps, Networking, Other",5.0,senior
1950,"Python, Other","Human-Computer Interaction, Data Analytics, Machine Learning/Artificial Intelligence, Other",5.0,senior
1951,,Other,5.0,not specified
1952,,Other,8.0,senior
1953,"Python, C++, Java, Other","Software Development, Other",,not specified
1954,,"DevOps, Cloud Computing, Mobile Development, Software Development, Other",,mid
1955,,,10.0,senior
1956,"Other, Java","Data Analytics, Cybersecurity, Web Development, Networking, Other",8.0,senior
1957,"Python, R, Other","Data Analytics, Other",3.0,mid
1958,Other,"Mobile Development, Other",2.0,mid
1959,,Machine Learning/Artificial Intelligence,5.0,senior
1960,"Swift, Other","Web Development, Other, Database Management, Mobile Development",8.0,senior
1961,"JavaScript, Other",Web Development,5.0,senior
1962,,"DevOps, Cloud Computing, Mobile Development, Software Development, Networking, Other",,not specified
1963,,"Software Development, Other",8.0,senior
1964,,,4.0,not specified
1965,,,4.0,mid
1966,"Python, C++",Machine Learning/Artificial Intelligence,,not specified
1967,,"Data Analytics, Other",3.0,mid
1968,,,5.0,not specified
1969,"C++, Other","Networking, Other",,not specified
1970,"Ruby, Python, Shell, Other","DevOps, Cloud Computing, Software Development, Web Development, Networking, Other",10.0,senior
1971,"Python, C++, Other","Internet of Things (IoT), Data Analytics, Other",4.0,not specified
1972,,Other,7.0,senior
1973,,"Data Analytics, Database Management, Other",3.0,mid
1974,,"Web Development, Other",5.0,senior
1975,,"Software Development, Other",8.0,senior
1976,,"Data Analytics, Software Development, Other",5.0,not specified
1977,,"Networking, Other",7.0,senior
1978,,,4.0,senior
1979,,,8.0,senior
1980,,,,not specified
1981,,,12.0,senior
1982,"Python, C++","Cloud Computing, Software Development, Database Management, Other",,not specified
1983,,,,not specified
1984,"Python, Shell, Perl","Data Analytics, DevOps, Cloud Computing, Software Development, Networking, Other",5.0,not specified
1985,,"Cybersecurity, Networking, Other",7.0,senior
1986,"Java, Other",Other,,not specified
1987,Other,"Networking, Other",5.0,senior
1988,,Internet of Things (IoT),7.0,senior
1989,,Data Analytics,,not specified
1990,,,5.0,senior
1991,"Swift, Other","Web Development, Mobile Development",,not specified
1992,Python,"Data Analytics, Database Management",5.0,senior
1993,"JavaScript, Java, Other","Web Development, Other",,not specified
1994,"Python, C++","Software Development, Networking, Other",,senior
1995,,"Software Development, Other",10.0,senior
1996,,Other,5.0,not specified
1997,Other,"AR/VR (Augmented Reality/Virtual Reality), Networking, Other",4.0,not specified
1998,,Data Analytics,,not specified
1999,"JavaScript, Other","Human-Computer Interaction, Other",5.0,mid
2000,Java,Data Analytics,,not specified
2001,Other,"Software Development, Other",,not specified
2002,,"Mobile Development, Other",,not specified
2003,Other,"Machine Learning/Artificial Intelligence, Other",5.0,senior
2004,,"Other, Networking, Cybersecurity",10.0,senior
2005,,"Web Development, Other",,not specified
2006,"Python, Shell, Perl, Go","DevOps, Mobile Development, Other",,not specified
2007,,Other,3.0,mid
2008,Other,"Data Analytics, Software Development, Database Management, Other",,senior
2009,Other,"Networking, Other",,senior
2010,,"Data Analytics, Networking, Other",5.0,senior
2011,"Python, Perl, Other",Other,,not specified
2012,"Scala, Python, Java","Data Analytics, Database Management",,not specified
2013,"Python, Other, Java","Data Analytics, Database Management, Software Development, Web Development, Other",,not specified
2014,,"Web Development, Data Analytics, Mobile Development, Other",8.0,senior
2015,"Other, Java","Database Management, Cybersecurity, Software Development, Web Development, Networking, Other",8.0,senior
2016,Other,"Software Development, Other",,not specified
2017,,"Other, Software Development, Mobile Development",,not specified
2018,Other,"Web Development, Software Development, Other",,not specified
2019,Java,"Data Analytics, Database Management",5.0,senior
2020,"JavaScript, Python, Java","Web Development, Data Analytics, Cloud Computing, Database Management",3.0,mid
2021,,Machine Learning/Artificial Intelligence,7.0,senior
2022,"Python, Scala, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Other",,senior
2023,Go,"Data Analytics, DevOps, Networking, Other",,senior
2024,"Python, Other",Other,2.0,mid
2025,"Python, Scala, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Other",,mid
2026,"Ruby, Perl, Shell, Python","Data Analytics, DevOps, Database Management, Software Development, Networking, Other",5.0,senior
2027,"Python, R, Other","Data Analytics, Machine Learning/Artificial Intelligence, Database Management, Other",,not specified
2028,,Other,5.0,senior
2029,"Ruby, Perl, Shell, Python","Data Analytics, DevOps, Database Management, Software Development, Networking, Other",5.0,mid
2030,"Python, Perl, Other",Other,,not specified
2031,"Python, Shell, Perl, Go","DevOps, Mobile Development, Other",,not specified
2032,,"Data Analytics, Other",,not specified
2033,,Other,3.0,mid
2034,,"Data Analytics, Other",,senior
2035,Other,"Software Development, Other",,not specified
2036,"Java, Python, Swift, Perl, Shell, C++, Other","Data Analytics, DevOps, Machine Learning/Artificial Intelligence, Software Development, Networking, Other",10.0,senior
2037,"Python, Shell, Perl","DevOps, Database Management, Cloud Computing, Software Development, Networking, Other",,not specified
2038,,"Other, Software Development, Networking, Mobile Development",10.0,senior
2039,,"Data Analytics, Other",,senior
2040,"Ruby, Perl, Go, Python","DevOps, Cloud Computing, Cybersecurity, Software Development, Web Development, Networking, Other",5.0,senior
2041,"Python, Other, Scala, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Other",,senior
2042,"Python, Other",Other,5.0,senior
2043,,"Other, Software Development, Networking, Mobile Development",10.0,senior
2044,"Python, Shell","Data Analytics, Database Management, Other",2.0,mid
2045,,Other,3.0,mid
2046,"C++, Other",Other,,not specified
2047,"Perl, Python, Other",Other,,not specified
2048,,Web Development,6.0,senior
2049,,"Software Development, Database Management, Other",5.0,senior
2050,,"Software Development, Database Management, Other",5.0,senior
2051,"Java, Python, Go, C++, Other","DevOps, Database Management, Web Development, Networking, Other",3.0,senior
2052,,"Other, Software Development, Networking, Mobile Development",10.0,senior
2053,,Other,3.0,mid
2054,"Ruby, Perl, Shell, Python","DevOps, Database Management, Cloud Computing, Software Development, Web Development, Networking, Other",5.0,senior
2055,Java,Database Management,5.0,senior
2056,Other,Other,4.0,mid
2057,"Perl, Python, Other",Other,5.0,senior
2058,,"Networking, Other",,not specified
2059,,Other,2.0,mid
2060,"Perl, Shell, PHP, Other","Database Management, Software Development, Web Development, Networking, Other",5.0,senior
2061,"Perl, Shell, PHP","Database Management, Software Development, Web Development, Networking, Other",5.0,mid
2062,"Java, Python, Go, C++, Other","DevOps, Database Management, Web Development, Networking, Other",3.0,mid
2063,,Other,,senior
2064,"Perl, Python, Other",Other,5.0,senior
2065,,"Web Development, Networking, Other",,senior
2066,Other,"Web Development, Cybersecurity, Networking, Other",,senior
2067,"Python, Perl, Other","Software Development, Other",5.0,senior
2068,"Python, Perl, Other","Software Development, Other",5.0,senior
2069,"JavaScript, Other","Web Development, Other",2.0,not specified
2070,"Python, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",8.0,senior
2071,,Other,,not specified
2072,,"Other, Data Analytics, Mobile Development",,junior
2073,,Web Development,,senior
2074,Other,"Other, Software Development, Mobile Development",,senior
2075,"Scala, Other, Java","Data Analytics, Cloud Computing, Database Management, DevOps",,senior
2076,"JavaScript, PHP, Other","Data Analytics, Blockchain, Software Development, Web Development, Other",5.0,senior
2077,,"Software Development, Other",5.0,senior
2078,Other,Other,,not specified
2079,"Perl, Other","Software Development, Other",5.0,senior
2080,"JavaScript, Other, Java","Web Development, Software Development, Database Management, Other",5.0,senior
2081,,Other,,not specified
2082,,"Web Development, Other, Networking, Mobile Development",2.0,not specified
2083,,"AR/VR (Augmented Reality/Virtual Reality), Other",3.0,mid
2084,"JavaScript, Perl, Shell, Python, C++, Other","Web Development, Software Development, Networking, Other",,senior
2085,"JavaScript, Perl, Shell, Python, C++, Other","Web Development, Software Development, Networking, Other",,not specified
2086,,,,not specified
2087,,"Data Analytics, DevOps, Other",3.0,mid
2088,,Other,6.0,senior
2089,,"Data Analytics, Other",2.0,mid
2090,"Scala, Shell, Python, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",3.0,mid
2091,,"Web Development, Other",,senior
2092,,"Web Development, Data Analytics, Other",,senior
2093,,Other,8.0,senior
2094,,"Cloud Computing, Software Development, Database Management, Other",8.0,senior
2095,"Ruby, Perl, Shell, Python","DevOps, Database Management, Cloud Computing, Software Development, Web Development, Networking, Other",5.0,senior
2096,"JavaScript, Other","Web Development, Other",,not specified
2097,"Python, Perl, Other",Other,,not specified
2098,"Python, Perl, Other",Other,,not specified
2099,Python,"Data Analytics, Software Development, Other",5.0,senior
2100,,,,mid
2101,,"Cloud Computing, Mobile Development, Other",2.0,mid
2102,,Other,3.0,mid
2103,,Other,10.0,senior
2104,,,,not specified
2105,,"DevOps, Mobile Development, Web Development, Internet of Things (IoT), Networking, Other",1.0,mid
2106,,,5.0,senior
2107,,"Web Development, Software Development, Mobile Development, Other",15.0,senior
2108,"Python, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Software Development",5.0,senior
2109,,"Human-Computer Interaction, Mobile Development, Other",,mid
2110,"Java, Python, Perl, Ruby, Go","Data Analytics, Cloud Computing, DevOps, Other",5.0,senior
2111,"Java, Python, Perl, Ruby, Go","Data Analytics, DevOps, Cloud Computing, Software Development, Other",5.0,senior
2112,,Other,15.0,senior
2113,,"Human-Computer Interaction, Mobile Development, Other",,senior
2114,,Cybersecurity,5.0,senior
2115,"Python, C++, Other","Internet of Things (IoT), Other",,not specified
2116,,"Data Analytics, Database Management, Other",10.0,senior
2117,"Python, C++, Other","Cloud Computing, Software Development, Database Management, Other",,not specified
2118,,Mobile Development,,senior
2119,,"Data Analytics, Other",2.0,mid
2120,,Other,,not specified
2121,"JavaScript, TypeScript","Web Development, Cloud Computing, Database Management",15.0,senior
2122,,,,not specified
2123,,Data Analytics,5.0,senior
2124,,"Mobile Development, Other",,senior
2125,,Other,,not specified
2126,,,,senior
2127,,,,not specified
2128,,,,not specified
2129,,,,not specified
2130,,,,not specified
2131,,,,not specified
2132,,,,not specified
2133,,,,not specified
2134,,,,not specified
2135,,Other,,senior
2136,,,,not specified
2137,,,,not specified
2138,,,,senior
2139,,"Data Analytics, Other",5.0,senior
2140,,,,senior
2141,,,,senior
2142,,,8.0,senior
2143,,,,senior
2144,,,,not specified
2145,,,,senior
2146,,,,not specified
2147,"Swift, Shell, Python, Other","Other, Software Development, Networking, Cybersecurity",,not specified
